set_code;set_name;set_rarity;set_price;release_date;region;language
LOD-032;Legacy of Darkness;Common;1.23;;;
LOD-EN032;Legacy of Darkness;Common;2.9;;;
BP02-EN179;Battle Pack 2: War of the Giants;Common;0;;;
DR2-EN105;Dark Revelation Volume 2;Common;0;;;
DT02-EN048;Duel Terminal 2;Duel Terminal Normal Parallel Rare;2.49;;;
DP1-EN025;Duelist Pack: Jaden Yuki;Common;0;;;
IOC-104;Invasion of Chaos;Common;1.63;;;
IOC-EN104;Invasion of Chaos;Common;0;;;
SGX1-ENA19;Speed Duel GX: Duel Academy Box;Common;0;;;
YS14-EN036;Super Starter: Space-Time Showdown;Common;0;;;
BLC1-EN158;Battles of Legend: Chapter 1;Common;0;;;
DUSA-EN087;Duelist Saga;Ultra Rare;16.71;;;
GENF-EN098;Generation Force;Ultimate Rare;0;;;
SDHS-EN026;HERO Strike Structure Deck;Common;0;;;
LED6-EN022;Legendary Duelists: Magical Hero;Common;0;;;
LDS3-EN112;Legendary Duelists: Season 3;Common;0.99;;;
MAMA-EN081;Magnificent Mavens;Ultra Rare;0;;;
RA04-EN087;Quarter Century Stampede;Collector's Rare;0;;;
SGX2-ENA16;Speed Duel GX: Midterm Paradox;Common;0;;;
DB-EN66;Dark Beginning 2;Common;0;;;
DB2-EN187;Dark Beginning 2;Common;1.48;;;
HL1-EN003;Hobby League 1 participation cards B;Common;11.44;;;
LOD-078;Legacy of Darkness;Common;1.48;;;
LOD-EN078;Legacy of Darkness;Common;12.87;;;
LEDU-EN021;Legendary Duelists;Common;0;;;
LDS1-EN029;Legendary Duelists: Season 1;Common;0;;;
MAMA-EN079;Magnificent Mavens;Ultra Rare;0;;;
SDRE-EN024;Realm of the Sea Emperor Structure Deck;Common;1.25;;;
RP02-EN062;Retro Pack 2;Common;0;;;
SGX2-ENC13;Speed Duel GX: Midterm Paradox;Common;0;;;
SBC1-ENI27;Speed Duel: Streets of Battle City;Common;0;;;
SD4-EN020;Structure Deck: Fury from the Deep;Common;1.24;;;
ANPR-EN080;Ancient Prophecy;Short Print;0;;;
STP5-EN032;Speed Duel Tournament Pack 5;Common;0;;;
SBSC-EN045;Speed Duel: Scars of Battle;Common;1.04;;;
DR1-EN016;Dark Revelation Volume 1;Common;0;;;
PGD-068;Pharaonic Guardian;Common;1.8;;;
CRV-EN054;Cybernetic Revolution;Common;0;;;
DR04-EN054;Dark Revelation Volume 4;Common;2.06;;;
MP24-EN353;25th Anniversary Tin: Dueling Mirrors;Common;0;;;
CYAC-EN074;Cyberstorm Access;Common;0;;;
MP15-EN234;2015 Mega-Tin Mega Pack;Secret Rare;0;;;
LED7-EN052;Legendary Duelists: Rage of Ra;Rare;0;;;
SECE-EN064;Secrets of Eternity;Secret Rare;0;;;
DB2-EN159;Dark Beginning 2;Common;1.27;;;
SDDC-EN028;Dragons Collide Structure Deck;Common;0;;;
LOD-044;Legacy of Darkness;Common;1.63;;;
LOD-EN044;Legacy of Darkness;Common;2.9;;;
SDRL-EN025;Rise of the Dragon Lords Structure Deck;Common;1.51;;;
SR02-EN027;Rise of the True Dragons Structure Deck;Common;0;;;
SDBE-EN023;Saga of Blue-Eyes White Dragon Structure Deck;Common;1.26;;;
LCKC-EN019;Legendary Collection Kaiba Mega Pack;Secret Rare;0;;;
SDKS-EN001;Structure Deck: Seto Kaiba;Super Rare;2.2;;;
DR3-EN093;Dark Revelation Volume 3;Rare;0;;;
RDS-EN033;Rise of Destiny;Rare;0;;;
MZTM-EN024;Maze of the Master;Collector's Rare;0;;;
SDKS-EN040;Structure Deck: Seto Kaiba;Ultra Rare;2.39;;;
LIOV-EN076;Lightning Overdrive;Common;0;;;
ALIN-EN054;Alliance Insight;Super Rare;0;;;
MP21-EN073;2021 Tin of Ancient Battles;Ultra Rare;0;;;
ETCO-EN056;Eternity Code;Super Rare;0;;;
MP21-EN024;2021 Tin of Ancient Battles;Common;0.88;;;
IGAS-EN053;Ignition Assault;Rare;0;;;
MP22-EN095;2022 Tin of the Pharaoh's Gods;Ultra Rare;0;;;
LIOV-EN060;Lightning Overdrive;Common;0;;;
MP21-EN029;2021 Tin of Ancient Battles;Common;0.85;;;
IGAS-EN069;Ignition Assault;Common;0;;;
MP21-EN025;2021 Tin of Ancient Battles;Common;0.88;;;
IGAS-EN054;Ignition Assault;Common;0;;;
BROL-EN042;Brothers of Legend;Ultra Rare;0.9;;;
MP21-EN023;2021 Tin of Ancient Battles;Common;1.08;;;
IGAS-EN052;Ignition Assault;Rare;0;;;
MP21-EN083;2021 Tin of Ancient Battles;Common;0.87;;;
ETCO-EN073;Eternity Code;Common;0;;;
DP10-EN010;Duelist Pack: Yusei 3;Common;0;;;
DREV-EN005;Duelist Revolution;Common;0;;;
WGRT-EN032;War of the Giants Reinforcements;Common;4.79;;;
BPW2-EN032;War of the Giants: Round 2;Common;1.53;;;
CDIP-EN013;Cyberdark Impact;Common;0;;;
YSDS-EN020;Starter Deck: Syrus Truesdale;Common;1.41;;;
DR3-EN146;Dark Revelation Volume 3;Common;0;;;
FET-EN026;Flaming Eternity;Common;0;;;
LCKC-EN059;Legendary Collection Kaiba Mega Pack;Secret Rare;0;;;
OP13-EN006;OTS Tournament Pack 13;Super Rare;0;;;
OP13-PT006;OTS Tournament Pack 13 (POR);Super Rare;0.00;;;
RA04-EN271;Quarter Century Stampede;Platinum Secret Rare;0;;;
SDKS-EN041;Structure Deck: Seto Kaiba;Ultra Rare;3.48;;;
ALIN-EN080;Alliance Insight;Super Rare;0;;;
MP20-EN192;2020 Tin of Lost Memories Mega Pack;Common;1.1;;;
CHIM-EN070;Chaos Impact;Common;0;;;
IGAS-EN019;Ignition Assault;Super Rare;0;;;
VASM-EN051;Valiant Smashers;Rare;0;;;
MP20-EN182;2020 Tin of Lost Memories Mega Pack;Ultra Rare;4.02;;;
RA02-EN064;25th Anniversary Rarity Collection II;Collector's Rare;0;;;
CHIM-EN054;Chaos Impact;Secret Rare;0;;;
DUAD-EN034;Duelist's Advance;Common;0;;;
GENF-EN036;Generation Force;Super Rare;0;;;
LEDD-ENA13;Legendary Dragon Decks;Common;1.24;;;
DR3-EN050;Dark Revelation Volume 3;Common;0;;;
SOD-EN050;Soul of the Duelist;Common;0;;;
OP26-EN004;OTS Tournament Pack 26;Super Rare;0;;;
PGL2-EN002;Premium Gold: Return of the Bling;Gold Secret Rare;5.53;;;
RA04-EN244;Quarter Century Stampede;Platinum Secret Rare;0;;;
SR13-EN024;Structure Deck: Dark World;Common;0;;;
SR06-EN020;Structure Deck: Lair of Darkness;Common;0;;;
SDCK-EN016;Structure Deck: The Crimson King;Common;0;;;
TAMA-EN048;Tactical Masters;Rare;0;;;
SDCK-EN025;Structure Deck: The Crimson King;Common;0;;;
BLMM-EN164;Battles of Legend: Monster Mayhem;Secret Rare;0;;;
CORE-EN092;Clash of Rebellions;Ultra Rare;0;;;
GAOV-EN037;Galactic Overlord;Rare;0;;;
SGX3-ENA12;Speed Duel GX: Duelists of Shadows;Common;0;;;
SBCB-EN031;Speed Duel: Battle City Box;Common;1.04;;;
AST-072;Ancient Sanctuary;Common;1.32;;;
DR2-EN185;Dark Revelation Volume 2;Common;0;;;
SDRR-EN005;Structure Deck: Rokket Revolt;Super Rare;3.61;;;
LDS2-EN061;Legendary Duelists: Season 2;Common;1.05;;;
LED3-EN046;Legendary Duelists: White Dragon Abyss;Rare;1.25;;;
BLLR-EN012;Battles of Legend: Light's Revenge;Ultra Rare;6.68;;;
OP21-EN015;OTS Tournament Pack 21;Common;0;;;
DESO-EN016;Destiny Soldiers;Secret Rare;3.23;;;
DESO-EN020;Destiny Soldiers;Super Rare;1.38;;;
LDS2-EN058;Legendary Duelists: Season 2;Common;0.99;;;
DESO-EN017;Destiny Soldiers;Super Rare;1.91;;;
DUOV-EN022;Duel Overload;Ultra Rare;1.5;;;
DESO-EN021;Destiny Soldiers;Secret Rare;1.66;;;
LED3-EN051;Legendary Duelists: White Dragon Abyss;Common;0;;;
PHHY-EN016;Photon Hypernova;Common;0;;;
LDS2-EN060;Legendary Duelists: Season 2;Common;1.05;;;
LED3-EN045;Legendary Duelists: White Dragon Abyss;Super Rare;2.52;;;
DESO-EN019;Destiny Soldiers;Super Rare;1.63;;;
PHHY-EN049;Photon Hypernova;Common;0;;;
DESO-EN018;Destiny Soldiers;Secret Rare;1.77;;;
LED3-EN050;Legendary Duelists: White Dragon Abyss;Common;0;;;
MP18-EN101;2018 Mega-Tin Mega Pack;Common;0;;;
COTD-EN097;Code of the Duelist;Common;0;;;
LED3-EN052;Legendary Duelists: White Dragon Abyss;Common;0;;;
ROTD-EN081;Rise of the Duelist;Common;1.12;;;
DESO-EN022;Destiny Soldiers;Secret Rare;2.87;;;
LDS2-EN059;Legendary Duelists: Season 2;Common;1.03;;;
DESO-EN028;Destiny Soldiers;Super Rare;1.39;;;
LED3-EN055;Legendary Duelists: White Dragon Abyss;Common;0;;;
LDS2-EN064;Legendary Duelists: Season 2;Common;1.02;;;
LED3-EN049;Legendary Duelists: White Dragon Abyss;Common;0.98;;;
PHHY-EN063;Photon Hypernova;Super Rare;0;;;
RA02-EN033;25th Anniversary Rarity Collection II;Collector's Rare;0;;;
ABYR-EN084;Abyss Rising;Super Rare;0;;;
CRBR-EN012;Crossover Breakers;Rare;0;;;
DUDE-EN016;Duel Devastator;Ultra Rare;1.78;;;
OP13-EN002;OTS Tournament Pack 13;Ultimate Rare;0;;;
OP13-PT002;OTS Tournament Pack 13 (POR);Ultimate Rare;0.00;;;
OP20-EN020;OTS Tournament Pack 20;Common;0;;;
PGL3-EN068;Premium Gold: Infinite Gold;Gold Rare;0;;;
THSF-EN047;The Secret Forces;Super Rare;2.87;;;
MP22-EN234;2022 Tin of the Pharaoh's Gods;Ultra Rare;0;;;
BODE-EN083;Burst of Destiny;Common;0.86;;;
LDS2-EN063;Legendary Duelists: Season 2;Common;0.93;;;
LED3-EN048;Legendary Duelists: White Dragon Abyss;Rare;1.43;;;
DESO-EN026;Destiny Soldiers;Super Rare;2.14;;;
BLLR-EN013;Battles of Legend: Light's Revenge;Ultra Rare;1.83;;;
PHHY-EN064;Photon Hypernova;Common;0;;;
DESO-EN023;Destiny Soldiers;Super Rare;1.78;;;
DESO-EN025;Destiny Soldiers;Super Rare;1.14;;;
DESO-EN024;Destiny Soldiers;Super Rare;1.42;;;
LED3-EN053;Legendary Duelists: White Dragon Abyss;Common;0;;;
DESO-EN027;Destiny Soldiers;Secret Rare;1.38;;;
LED3-EN054;Legendary Duelists: White Dragon Abyss;Common;0;;;
LDS2-EN062;Legendary Duelists: Season 2;Common;1.02;;;
LED3-EN047;Legendary Duelists: White Dragon Abyss;Rare;1.06;;;
LED9-EN001;Legendary Duelists: Duels From the Deep;Ultra Rare;4.57;;;
RA03-EN030;Quarter Century Bonanza;Collector's Rare;0;;;
CP02-EN007;Champion Pack: Game Two;Rare;0;;;
DT06-EN065;Duel Terminal 6b;Duel Terminal Normal Parallel Rare;0;;;
SDRE-EN014;Realm of the Sea Emperor Structure Deck;Common;5;;;
CMC-EN001;Yu-Gi-Oh! Capsule Monster Coliseum promotional cards;Super Rare;15.24;;;
MP16-EN036;2016 Mega-Tin Mega Pack;Common;0;;;
CROS-EN077;Crossed Souls;Common;0;;;
ABYR-EN028;Abyss Rising;Common;0;;;
CBLZ-EN061;Cosmo Blazer;Common;0;;;
ABYR-EN056;Abyss Rising;Common;0;;;
MP14-EN040;2014 Mega-Tin Mega Pack;Common;0;;;
LTGY-EN064;Lord of the Tachyon Galaxy;Common;0;;;
CBLZ-EN075;Cosmo Blazer;Common;0;;;
ABYR-EN072;Abyss Rising;Ultimate Rare;0;;;
ABYR-EN071;Abyss Rising;Super Rare;0;;;
SUDA-EN077;Supreme Darkness;Super Rare;0;;;
ROTA-EN062;Rage of the Abyss;Common;0;;;
ABYR-EN073;Abyss Rising;Rare;0;;;
DR3-EN040;Dark Revelation Volume 3;Common;0;;;
SOD-EN040;Soul of the Duelist;Common;0;;;
BP01-EN155;Battle Pack: Epic Dawn;Common;0;;;
TAEV-EN084;Tactical Evolution;Secret Rare;14.27;;;
TU05-EN013;Turbo Pack: Booster Five;Common;0;;;
ROTA-EN017;Rage of the Abyss;Quarter Century Secret Rare;0;;;
SUDA-EN046;Supreme Darkness;Super Rare;0;;;
MP24-EN030;25th Anniversary Tin: Dueling Mirrors;Quarter Century Secret Rare;0;;;
MAZE-EN019;Maze of Memories;Collector's Rare;0;;;
LED6-EN028;Legendary Duelists: Magical Hero;Common;0;;;
LDS3-EN120;Legendary Duelists: Season 3;Common;0.82;;;
SDSE-EN042;Synchron Extreme Structure Deck;Super Rare;0;;;
LED3-EN044;Legendary Duelists: White Dragon Abyss;Common;0;;;
ZTIN-EN016;Zexal Collection Tin;Ultra Rare;1.44;;;
RA02-EN044;25th Anniversary Rarity Collection II;Collector's Rare;0;;;
BLCR-EN093;Battles of Legend: Crystal Revenge;Secret Rare;0;;;
ETCO-EN046;Eternity Code;Secret Rare;0;;;
MGED-EN037;Maximum Gold: El Dorado;Premium Gold Rare;0;;;
RA04-EN079;Quarter Century Stampede;Quarter Century Secret Rare;0;;;
CDIP-EN057;Cyberdark Impact;Common;0;;;
BLTR-EN039;Battles of Legend: Terminal Revenge;Secret Rare;0;;;
GENF-EN003;Generation Force;Common;0;;;
SP13-EN004;Star Pack 2013;Common;0;;;
YS13-EN014;Super Starter: V for Victory;Common;0;;;
ABYR-EN003;Abyss Rising;Common;0;;;
MP21-EN003;2021 Tin of Ancient Battles;Ultra Rare;0;;;
IGAS-EN004;Ignition Assault;Secret Rare;0;;;
OP28-EN019;OTS Tournament Pack 28;Common;0;;;
DT02-EN037;Duel Terminal 2;Duel Terminal Normal Parallel Rare;3.34;;;
DL8-EN001;Duelist League Series 8 participation card;Super Rare;3.93;;;
SBC1-ENI14;Speed Duel: Streets of Battle City;Common;0;;;
LCYW-EN283;Legendary Collection 3: Yugi's World Mega Pack;Rare;0;;;
MIL1-EN044;Millennium Pack;Rare;0;;;
SOI-ENSE1;Shadow of Infinity: Special Edition;Secret Rare;3.52;;;
SBCB-EN102;Speed Duel: Battle City Box;Common;1.1;;;
SDMA-EN029;Structure Deck: Marik (TCG);Common;1.12;;;
DDS-005;Yu-Gi-Oh! Dark Duel Stories promotional cards;Prismatic Secret Rare;3.47;;;
SDD-E002;Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel promotional cards;Prismatic Secret Rare;9.45;;;
PTDN-EN058;Phantom Darkness;Common;0;;;
PHSW-EN006;Photon Shockwave;Common;0;;;
DCR-003;Dark Crisis;Common;1.05;;;
DCR-EN003;Dark Crisis;Common;0.00;;;
DR1-EN165;Dark Revelation Volume 1;Common;0;;;
YSDS-EN004;Starter Deck: Syrus Truesdale;Common;1.57;;;
TDIL-EN009;The Dark Illusion;Rare;0;;;
CHIM-EN094;Chaos Impact;Common;0;;;
CHIM-EN093;Chaos Impact;Common;0;;;
MP22-EN192;2022 Tin of the Pharaoh's Gods;Common;0;;;
BODE-EN011;Burst of Destiny;Super Rare;0;;;
MP21-EN226;2021 Tin of Ancient Battles;Super Rare;0;;;
SESL-EN003;Secret Slayers;Secret Rare;0;;;
MP21-EN229;2021 Tin of Ancient Battles;Common;1.08;;;
SESL-EN006;Secret Slayers;Super Rare;0;;;
MP21-EN227;2021 Tin of Ancient Battles;Common;0.87;;;
SESL-EN004;Secret Slayers;Super Rare;0;;;
MP21-EN228;2021 Tin of Ancient Battles;Common;0.94;;;
SESL-EN005;Secret Slayers;Super Rare;0;;;
MP21-EN142;2021 Tin of Ancient Battles;Rare;0;;;
ROTD-EN061;Rise of the Duelist;Secret Rare;0;;;
MP21-EN233;2021 Tin of Ancient Battles;Common;1.01;;;
SESL-EN010;Secret Slayers;Super Rare;0;;;
MP21-EN235;2021 Tin of Ancient Battles;Super Rare;0;;;
SESL-EN012;Secret Slayers;Secret Rare;0;;;
MP21-EN225;2021 Tin of Ancient Battles;Ultra Rare;0;;;
SESL-EN002;Secret Slayers;Secret Rare;0;;;
MP21-EN236;2021 Tin of Ancient Battles;Common;1.03;;;
SESL-EN013;Secret Slayers;Super Rare;0;;;
MP21-EN232;2021 Tin of Ancient Battles;Ultra Rare;0;;;
OP25-EN019;OTS Tournament Pack 25;Common;0;;;
SESL-EN009;Secret Slayers;Secret Rare;0;;;
MP21-EN230;2021 Tin of Ancient Battles;Ultra Rare;0;;;
SESL-EN007;Secret Slayers;Secret Rare;0;;;
MP21-EN231;2021 Tin of Ancient Battles;Ultra Rare;0;;;
SESL-EN008;Secret Slayers;Super Rare;0;;;
MP21-EN224;2021 Tin of Ancient Battles;Super Rare;0;;;
SESL-EN001;Secret Slayers;Secret Rare;0;;;
MP21-EN234;2021 Tin of Ancient Battles;Prismatic Secret Rare;0;;;
SESL-EN011;Secret Slayers;Super Rare;0;;;
BLMR-EN047;Battles of Legend: Monstrous Revenge;Ultra Rare;0;;;
DR1-EN105;Dark Revelation Volume 1;Common;0;;;
DT01-EN098;Duel Terminal 1;Duel Terminal Normal Parallel Rare;0;;;
LCJW-EN274;Legendary Collection 4: Joey's World Mega Pack;Common;0;;;
MFC-050;Magician's Force;Common;1.64;;;
SS03-ENB28;Speed Duel Starter Decks: Ultimate Predators;Common;1.09;;;
STP2-EN018;Speed Duel Tournament Pack 2;Super Rare;0;;;
WGRT-EN083;War of the Giants Reinforcements;Super Rare;7.19;;;
BPW2-EN083;War of the Giants: Round 2;Super Rare;2.05;;;
DR04-EN131;Dark Revelation Volume 4;Common;2.04;;;
SOI-EN011;Shadow of Infinity;Rare;0;;;
WGRT-EN015;War of the Giants Reinforcements;Super Rare;3.4;;;
BPW2-EN015;War of the Giants: Round 2;Super Rare;1.24;;;
BP01-EN030;Battle Pack: Epic Dawn;Rare;0;;;
GENF-EN086;Generation Force;Secret Rare;0;;;
CYAC-EN095;Cyberstorm Access;Super Rare;0;;;
ANPR-EN047;Ancient Prophecy;Common;0;;;
DESO-EN056;Destiny Soldiers;Super Rare;0;;;
DPCT-ENY06;Duelist Pack Collection Tin 2010;Super Rare;2.4;;;
DP09-EN021;Duelist Pack: Yusei 2;Common;0;;;
LC5D-EN047;Legendary Collection 5D's Mega Pack;Ultra Rare;0;;;
VASM-EN057;Valiant Smashers;Rare;0;;;
ABPF-EN048;Absolute Powerforce;Common;0;;;
OP01-EN027;OTS Tournament Pack 1;Common;0;;;
REDU-EN088;Return of the Duelist;Secret Rare;0;;;
BLCR-EN014;Battles of Legend: Crystal Revenge;Secret Rare;0;;;
BLCR-EN011;Battles of Legend: Crystal Revenge;Secret Rare;0;;;
BLCR-EN015;Battles of Legend: Crystal Revenge;Secret Rare;0;;;
BLCR-EN016;Battles of Legend: Crystal Revenge;Secret Rare;0;;;
BLCR-EN012;Battles of Legend: Crystal Revenge;Secret Rare;0;;;
BLCR-EN013;Battles of Legend: Crystal Revenge;Secret Rare;0;;;
BLCR-EN010;Battles of Legend: Crystal Revenge;Secret Rare;0;;;
BLCR-EN054;Battles of Legend: Crystal Revenge;Ultra Rare;0;;;
LDS1-EN109;Legendary Duelists: Season 1;Common;0;;;
REDU-EN094;Return of the Duelist;Secret Rare;0;;;
SHVA-EN056;Shadows in Valhalla;Super Rare;0;;;
SGX1-ENI20;Speed Duel GX: Duel Academy Box;Common;0;;;
SDCB-EN028;Structure Deck: Legend of the Crystal Beasts;Common;0;;;
ABYR-EN055;Abyss Rising;Rare;0;;;
BLMM-EN161;Battles of Legend: Monster Mayhem;Ultra Rare;0;;;
AP05-EN010;Astral Pack Five;Super Rare;0;;;
DT06-EN042;Duel Terminal 6a;Duel Terminal Normal Parallel Rare;0;;;
DUSA-EN063;Duelist Saga;Ultra Rare;4.17;;;
GFP2-EN153;Ghosts From the Past: The 2nd Haunting;Ultra Rare;0.98;;;
PGL2-EN050;Premium Gold: Return of the Bling;Gold Rare;0;;;
SS04-ENV01;Speed Duel Starter Decks: Match of the Millennium;Ultra Rare;3.4;;;
STP3-EN026;Speed Duel Tournament Pack 3;Common;0;;;
STON-EN045;Strike of Neos;Common;0;;;
THSF-EN052;The Secret Forces;Super Rare;2.75;;;
TU04-EN009;Turbo Pack: Booster Four;Rare;0;;;
MP16-EN213;2016 Mega-Tin Mega Pack;Common;0;;;
BOSH-EN055;Breakers of Shadow;Common;0;;;
GLD3-EN050;Gold Series 3;Common;0;;;
SGX3-ENG17;Speed Duel GX: Duelists of Shadows;Common;0;;;
STON-EN068;Strike of Neos;Secret Rare;0;;;
ANPR-EN076;Ancient Prophecy;Common;0;;;
SDRE-EN033;Realm of the Sea Emperor Structure Deck;Common;1.46;;;
INFO-EN089;The Infinite Forbidden;Common;0;;;
MP14-EN048;2014 Mega-Tin Mega Pack;Common;0;;;
LTGY-EN073;Lord of the Tachyon Galaxy;Common;0;;;
MP22-EN138;2022 Tin of the Pharaoh's Gods;Common;0;;;
DAMA-EN031;Dawn of Majesty;Common;0.91;;;
DEM3-EN008;Demo Deck 2016;Common;0.00;;;
YS14-EN011;Super Starter: Space-Time Showdown;Common;0;;;
CT13-EN011;2016 Mega-Tins;Super Rare;8.06;;;
CBLZ-EN066;Cosmo Blazer;Common;0;;;
DB2-EN195;Dark Beginning 2;Common;1.17;;;
LOD-086;Legacy of Darkness;Rare;2.96;;;
LOD-EN086;Legacy of Darkness;Rare;32.67;;;
BLAR-EN017;Battles of Legend: Armageddon;Ultra Rare;1.39;;;
DP11-EN018;Duelist Pack: Crow;Common;0;;;
RGBT-EN050;Raging Battle;Rare;0;;;
MP19-EN191;2019 Gold Sarcophagus Tin Mega Pack;Common;0;;;
SOFU-EN048;Soul Fusion;Common;0;;;
PHNI-EN059;Phantom Nightmare;Common;0;;;
DCR-080;Dark Crisis;Common;1.26;;;
DCR-EN080;Dark Crisis;Common;0.00;;;
DR1-EN242;Dark Revelation Volume 1;Common;0;;;
MAMA-EN028;Magnificent Mavens;Ultra Rare;0;;;
MP24-EN218;25th Anniversary Tin: Dueling Mirrors;Ultra Rare;0;;;
DUNE-EN027;Duelist Nexus;Common;0;;;
EGS1-EN016;Egyptian God Deck: Slifer the Sky Dragon;Common;1.17;;;
SR06-EN002;Structure Deck: Lair of Darkness;Super Rare;0;;;
MAMA-EN002;Magnificent Mavens;Ultra Rare;0;;;
ORCS-EN014;Order of Chaos;Common;0;;;
SP13-EN016;Star Pack 2013;Common;0;;;
MP18-EN071;2018 Mega-Tin Mega Pack;Common;0;;;
COTD-EN055;Code of the Duelist;Common;0;;;
SP18-EN042;Star Pack VRAINS;Common;0;;;
BP02-EN016;Battle Pack 2: War of the Giants;Mosaic Rare;0;;;
BP01-EN124;Battle Pack: Epic Dawn;Common;0;;;
DB2-EN173;Dark Beginning 2;Super Rare;11.68;;;
LOD-062;Legacy of Darkness;Ultra Rare;17.44;;;
LOD-EN062;Legacy of Darkness;Ultra Rare;14.99;;;
SDLS-EN017;Lost Sanctuary Structure Deck;Common;2.23;;;
RP02-EN058;Retro Pack 2;Rare;0;;;
SBCB-EN132;Speed Duel: Battle City Box;Common;1.42;;;
SBC1-ENF04;Speed Duel: Streets of Battle City;Common;0;;;
SR05-EN005;Structure Deck: Wave of Light;Common;0;;;
TP6-EN007;Tournament Pack 6;Rare;0;;;
BP03-EN087;Battle Pack 3: Monster League;Common;0;;;
GENF-EN021;Generation Force;Rare;0;;;
SBC1-ENC02;Speed Duel: Streets of Battle City;Common;0;;;
DR1-EN111;Dark Revelation Volume 1;Common;0;;;
MFC-056;Magician's Force;Common;1.56;;;
GEIM-EN005;Genesis Impact;Super Rare;1.45;;;
LEDE-EN088;Legacy of Destruction;Common;0;;;
CIBR-EN051;Circuit Break;Secret Rare;0;;;
SHVA-EN052;Shadows in Valhalla;Super Rare;0;;;
TSHD-EN085;The Shining Darkness;Rare;0;;;
MP16-EN204;2016 Mega-Tin Mega Pack;Common;0;;;
BOSH-EN037;Breakers of Shadow;Common;0;;;
MP23-EN080;25th Anniversary Tin: Dueling Heroes Mega Pack;Ultra Rare;0;;;
DIFO-EN035;Dimension Force;Secret Rare;0;;;
MP23-EN122;25th Anniversary Tin: Dueling Heroes Mega Pack;Prismatic Secret Rare;0;;;
POTE-EN011;Power of the Elements;Super Rare;0;;;
MP22-EN076;2022 Tin of the Pharaoh's Gods;Prismatic Secret Rare;0;;;
